space_name,visit_type,effect_type,card_type,roll_1,roll_2,roll_3,roll_4,roll_5,roll_6,roll_group,roll_action,roll_is_percentage,roll_numeric_only,fee_category
OWNER-SCOPE-INITIATION,First,cards,W,Draw 1,Draw 1,Draw 2,Draw 2,Draw 3,Draw 3,,draw,false,false,
OWNER-SCOPE-INITIATION,Subsequent,cards,W,Draw 1,Draw 1,Draw 2,Draw 2,Draw 3,Draw 3,,draw,false,false,
ARCH-FEE-REVIEW,First,money,,8%,8%,10%,10%,12%,12%,,fee,true,false,architectural
ARCH-FEE-REVIEW,Subsequent,money,,0%,0%,1%,1%,2%,2%,,fee,true,false,architectural
ARCH-INITIATION,Subsequent,Next Step,Next,ENG-INITIATION or PM-DECISION-CHECK,ENG-INITIATION or PM-DECISION-CHECK,ENG-INITIATION or PM-DECISION-CHECK,ARCH-FEE-REVIEW,ARCH-FEE-REVIEW,ARCH-FEE-REVIEW,,,false,false,
ARCH-SCOPE-CHECK,First,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
ARCH-SCOPE-CHECK,Subsequent,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
CHEAT-BYPASS,First,time,,1 day,2 days,3 days,4 days,60 days,365 days,,time,false,false,
CHEAT-BYPASS,Subsequent,time,,1 day,2 days,3 days,4 days,60 days,365 days,,time,false,false,
CHEAT-BYPASS,First,money,,-500,-1000,-2000,-5000,-25000,-100000,,money,false,true,
CHEAT-BYPASS,Subsequent,money,,-500,-1000,-2000,-5000,-25000,-100000,,money,false,true,
CHEAT-BYPASS,First,Next Step,Next,ENG-INITIATION,REG-DOB-FEE-REVIEW,REG-FDNY-FEE-REVIEW,CON-INITIATION,PM-DECISION-CHECK,PM-DECISION-CHECK,,,false,false,
CHEAT-BYPASS,Subsequent,Next Step,Next,ENG-INITIATION,REG-DOB-FEE-REVIEW,REG-FDNY-FEE-REVIEW,CON-INITIATION,PM-DECISION-CHECK,PM-DECISION-CHECK,,,false,false,
CON-INITIATION,First,Quality,Quality,HIGH,HIGH,MED,MED,LOW,LOW,,,false,false,
CON-INITIATION,Subsequent,time,,5 days,10 days,15 days,20 days,25 days,30 days,,time,false,false,
CON-INITIATION,First,Multiplier,Multiplier,1,2,3,4,5,6,,,false,true,
CON-INITIATION,Subsequent,money,,0%,2%,4%,6%,8%,10%,,fee,true,false,construction
CON-INSPECT,First,Next Step,Next,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,CON-ISSUES,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,,,false,false,
CON-INSPECT,Subsequent,Next Step,Next,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,CON-ISSUES,,,false,false,
CON-INSPECT,First,time,,1 day,5 days,25 days,1 day,1 day,1 day,,time,false,false,
CON-INSPECT,Subsequent,time,,1 day,1 day,1 day,5 days,25 days,1 day,,time,false,false,
CON-ISSUES,First,Next Step,Next,CON-INSPECT,CON-INSPECT,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,ENG-INITIATION,ARCH-INITIATION,,,false,false,
CON-ISSUES,Subsequent,Next Step,Next,CON-INSPECT,CON-INSPECT,CON-INSPECT,CON-INSPECT,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,,,false,false,
CON-ISSUES,First,time,,1 day,15 days,1 day,1 day,1 day,1 day,,time,false,false,
CON-ISSUES,Subsequent,time,,1 day,1 day,1 day,15 days,1 day,1 day,,time,false,false,
ENG-FEE-REVIEW,First,money,,2%,2%,4%,4%,6%,6%,,fee,true,false,engineering
ENG-FEE-REVIEW,Subsequent,money,,0%,0%,1%,1%,2%,2%,,fee,true,false,engineering
ENG-INITIATION,Subsequent,Next Step,Next,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,ENG-FEE-REVIEW,ENG-FEE-REVIEW,ENG-FEE-REVIEW,,,false,false,
ENG-SCOPE-CHECK,First,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
ENG-SCOPE-CHECK,Subsequent,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
FINISH,First,time,,,,,,,,,,false,false,
FINISH,Subsequent,time,,,,,,,,,,false,false,
INVESTOR-FUND-REVIEW,First,cards,I,Draw 1,Draw 1,Draw 1,Draw 2,Draw 2,Draw 2,,draw,false,false,
INVESTOR-FUND-REVIEW,Subsequent,cards,I,Draw 1,Draw 1,Draw 1,Draw 2,Draw 2,Draw 2,,draw,false,false,
INVESTOR-FUND-REVIEW,First,time,,30 days,30 days,30 days,50 days,50 days,70 days,,time,false,false,
INVESTOR-FUND-REVIEW,Subsequent,time,,30 days,30 days,50 days,50 days,70 days,70 days,,time,false,false,
LEND-SCOPE-CHECK,First,cards,W,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,,remove,false,false,
LEND-SCOPE-CHECK,Subsequent,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
OWNER-DECISION-REVIEW,First,cards,W,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,,remove,false,false,
OWNER-DECISION-REVIEW,Subsequent,cards,W,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
OWNER-DECISION-REVIEW,First,cards,E,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,,remove,false,false,
OWNER-DECISION-REVIEW,Subsequent,cards,E,Remove 1,Draw 1,Replace 1,No change,No change,No change,,remove,false,false,
REG-DOB-AUDIT,First,time,,REG-DOB-FINAL-REVIEW,REG-DOB-PLAN-EXAM,REG-DOB-PLAN-EXAM,ARCH-INITIATION,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-DOB-AUDIT,Subsequent,time,,REG-DOB-FINAL-REVIEW,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,REG-DOB-PLAN-EXAM,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-DOB-FEE-REVIEW,First,time,,,,,,,,,,false,false,
REG-DOB-FEE-REVIEW,Subsequent,time,,0%,0%,0%,1%,1%,1%,,fee,true,false,
REG-DOB-FINAL-REVIEW,First,Next Step,Next,FINISH,FINISH,FINISH,FINISH,CON-INSPECT,REG-FDNY-FEE-REVIEW,,,false,false,
REG-DOB-FINAL-REVIEW,Subsequent,Next Step,Next,FINISH,FINISH,FINISH,FINISH,FINISH,CON-INSPECT,,,false,false,
REG-DOB-FINAL-REVIEW,First,time,,1 day,1 day,10 days,30 days,1 day,1 day,,time,false,false,
REG-DOB-FINAL-REVIEW,Subsequent,time,,1 day,1 day,1 day,10 days,30 days,1 day,,time,false,false,
REG-DOB-PLAN-EXAM,First,time,,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,ARCH-INITIATION,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-DOB-PLAN-EXAM,Subsequent,time,,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-DOB-PROF-CERT,First,time,,REG-DOB-AUDIT,REG-DOB-AUDIT,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-DOB-PROF-CERT,Subsequent,time,,REG-DOB-AUDIT,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,,time,false,false,
REG-FDNY-PLAN-EXAM,First,time,,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,REG-FDNY-PLAN-EXAM,REG-FDNY-PLAN-EXAM,ENG-INITIATION,ARCH-INITIATION,,time,false,false,
REG-FDNY-PLAN-EXAM,Subsequent,time,,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,REG-FDNY-PLAN-EXAM,REG-FDNY-PLAN-EXAM,ENG-INITIATION,,time,false,false,
