space_name,visit_type,movement_type,destination_1,destination_2,destination_3,destination_4,destination_5,condition_1,condition_2,condition_3,condition_4,condition_5
,try_again_label,none,,,,,,,,,,
START-QUICK-PLAY-GUIDE,First,none,,,,,,,,,,
,Try Again,none,,,,,,,,,,
START-QUICK-PLAY-GUIDE,Subsequent,none,,,,,,,,,,
,Try Again,none,,,,,,,,,,
OWNER-SCOPE-INITIATION,First,fixed,OWNER-FUND-INITIATION,,,,,,,,,
,Negotiate,none,,,,,,,,,,
OWNER-SCOPE-INITIATION,Subsequent,fixed,OWNER-FUND-INITIATION,,,,,,,,,
,Try Again,none,,,,,,,,,,
OWNER-FUND-INITIATION,First,fixed,PM-DECISION-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
OWNER-FUND-INITIATION,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
,Try Again,none,,,,,,,,,,
PM-DECISION-CHECK,First,choice,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,,,,,,,
,Try Again,none,,,,,,,,,,
PM-DECISION-CHECK,Subsequent,choice,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,PM-DECISION-CHECK,OWNER-DECISION-REVIEW,,,,,
,Try Again,none,,,,,,,,,,
LEND-SCOPE-CHECK,First,choice,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,,,,,
,Negotiate,none,,,,,,,,,,
LEND-SCOPE-CHECK,Subsequent,choice,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,,,,,
,Try Again,none,,,,,,,,,,
BANK-FUND-REVIEW,First,fixed,PM-DECISION-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
BANK-FUND-REVIEW,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
,Try Again,none,,,,,,,,,,
INVESTOR-FUND-REVIEW,First,fixed,PM-DECISION-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
INVESTOR-FUND-REVIEW,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
,Try Again,none,,,,,,,,,,
ARCH-INITIATION,First,fixed,ARCH-FEE-REVIEW,,,,,,,,,
,Try Again,none,,,,,,,,,,
ARCH-INITIATION,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
ARCH-FEE-REVIEW,First,fixed,ARCH-SCOPE-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
ARCH-FEE-REVIEW,Subsequent,fixed,ARCH-SCOPE-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
ARCH-SCOPE-CHECK,First,choice,PM-DECISION-CHECK,ENG-INITIATION,,,,,,,,
,Negotiate,none,,,,,,,,,,
ARCH-SCOPE-CHECK,Subsequent,choice,PM-DECISION-CHECK,ENG-INITIATION,,,,,,,,
,Negotiate,none,,,,,,,,,,
ENG-INITIATION,First,fixed,ENG-FEE-REVIEW,,,,,,,,,
,Try Again,none,,,,,,,,,,
ENG-INITIATION,Subsequent,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
ENG-FEE-REVIEW,First,fixed,ENG-SCOPE-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
ENG-FEE-REVIEW,Subsequent,fixed,ENG-SCOPE-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
ENG-SCOPE-CHECK,First,choice,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,,,,,
,Negotiate,none,,,,,,,,,,
ENG-SCOPE-CHECK,Subsequent,choice,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,,,,,
,Negotiate,none,,,,,,,,,,
OWNER-DECISION-REVIEW,First,fixed,PM-DECISION-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
OWNER-DECISION-REVIEW,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
,Negotiate,none,,,,,,,,,,
CHEAT-BYPASS,First,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
CHEAT-BYPASS,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-FEE-REVIEW,First,fixed,REG-DOB-TYPE-SELECT,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-FEE-REVIEW,Subsequent,fixed,REG-DOB-TYPE-SELECT,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-DOB-TYPE-SELECT,First,choice,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-TYPE-SELECT,Subsequent,none,,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-PLAN-EXAM,First,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-DOB-PLAN-EXAM,Subsequent,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-DOB-PROF-CERT,First,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-PROF-CERT,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-AUDIT,First,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-DOB-AUDIT,Subsequent,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-FDNY-FEE-REVIEW,First,choice,CON-INITIATION,PM-DECISION-CHECK,REG-DOB-TYPE-SELECT,REG-FDNY-PLAN-EXAM,,,,,,
,Try Again,none,,,,,,,,,,
REG-FDNY-FEE-REVIEW,Subsequent,choice,CON-INITIATION,PM-DECISION-CHECK,REG-DOB-TYPE-SELECT,REG-FDNY-PLAN-EXAM,,,,,,
,Try Again,none,,,,,,,,,,
REG-FDNY-PLAN-EXAM,First,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-FDNY-PLAN-EXAM,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
CON-INITIATION,First,fixed,CON-ISSUES,,,,,,,,,
,Negotiate,none,,,,,,,,,,
CON-INITIATION,Subsequent,fixed,CON-ISSUES,,,,,,,,,
,Negotiate,none,,,,,,,,,,
CON-ISSUES,First,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
CON-ISSUES,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
CON-INSPECT,First,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
CON-INSPECT,Subsequent,dice,,,,,,,,,,
,Try Again,none,,,,,,,,,,
REG-DOB-FINAL-REVIEW,First,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
REG-DOB-FINAL-REVIEW,Subsequent,dice,,,,,,,,,,
,Negotiate,none,,,,,,,,,,
FINISH,First,none,,,,,,,,,,
,Try Again,none,,,,,,,,,,
FINISH,Subsequent,none,,,,,,,,,,
