space_name,visit_type,effect_type,effect_action,effect_value,condition,description,trigger_type,fee_type,narrative,modal_title,modal_description,modal_button_label,modal_summary,button_label
START-QUICK-PLAY-GUIDE,First,cards,draw_W,The scope of work is W cards. Here you learn how to add remove or change scope. Just remember 20% design fee is the max.,,Add work to the job,manual,,,,,,,Add work to the job
START-QUICK-PLAY-GUIDE,First,cards,draw_B,You can not build if you do not have $ - Bank will lend you a little $ rather quickly and at a low rate.,,Borrow from the bank,manual,,,,,,,Borrow from the bank
START-QUICK-PLAY-GUIDE,First,cards,draw_I,You can not build if you do not have $ - Investor will lend you a lot of $ rather slowly and at a higher rate.,,Raise money from investors,manual,,,,,,,Raise money from investors
START-QUICK-PLAY-GUIDE,First,cards,draw_L,In real life shit happens all the time. In this game it only happens here.,,In real life shit happens all the time. In this game it only happens here. L cards,auto,,,,,,,
START-QUICK-PLAY-GUIDE,First,cards,draw_E,Once in a while you may want specialized help. It is available in this row. But will it help you or hinder you.,,Bring in extra help,manual,,,,,,,Bring in extra help
START-QUICK-PLAY-GUIDE,First,fee,deduct,Of course to get things unstuck or get things done at all - you have to pay people up front. Watch this trickle so it does not become a flood.,,Pay Of course to get things unstuck or get things done at all - you have to pay people up front. Watch this trickle so it does not become a flood. fees,auto,FIXED,,,,,,
START-QUICK-PLAY-GUIDE,Subsequent,cards,draw_W,while being aware of the 20% design fee limit.,,Add work to the job,manual,,,,,,,Add work to the job
START-QUICK-PLAY-GUIDE,Subsequent,cards,draw_B,Watch out how much you borrow,,Borrow from the bank,manual,,,,,,,Borrow from the bank
START-QUICK-PLAY-GUIDE,Subsequent,cards,draw_I,and from whom. Bank offers quick small loans at low rates.,,Raise money from investors,manual,,,,,,,Raise money from investors
START-QUICK-PLAY-GUIDE,Subsequent,cards,draw_L,Beware that in the meantime life happens,,Beware that in the meantime life happens L cards,auto,,,,,,,
