space_name,die_roll,visit_type,1,2,3,4,5,6,button_label,roll_group
OWNER-SCOPE-INITIATION,W Cards,First,Draw 1,Draw 1,Draw 2,Draw 2,Draw 3,Draw 3,See what he wants built
OWNER-SCOPE-INITIATION,W Cards,Subsequent,Draw 1,Draw 1,Draw 2,Draw 2,Draw 3,Draw 3,See what he wants now
ARCH-FEE-REVIEW,Fees Paid,First,8%,8%,10%,10%,12%,12%,See what he's asking
ARCH-FEE-REVIEW,Fees Paid,Subsequent,0%,0%,1%,1%,2%,2%,See what the extra costs
ARCH-INITIATION,Next Step,Subsequent,ENG-INITIATION or PM-DECISION-CHECK,ENG-INITIATION or PM-DECISION-CHECK,ENG-INITIATION or PM-DECISION-CHECK,ARCH-FEE-REVIEW,ARCH-FEE-REVIEW,ARCH-FEE-REVIEW,
ARCH-SCOPE-CHECK,W Cards,First,Remove 1,Draw 1,Replace 1,No change,No change,No change,See what the design adds
ARCH-SCOPE-CHECK,W Cards,Subsequent,Remove 1,Draw 1,Replace 1,No change,No change,No change,See what changed
CHEAT-BYPASS,Time outcomes,First,1 day,2 days,3 days,4 days,60 days,365 days,See if it costs you time
CHEAT-BYPASS,Time outcomes,Subsequent,1 day,2 days,3 days,4 days,60 days,365 days,See how long it sets you back
CHEAT-BYPASS,Fees Paid,First,-500,-1000,-2000,-5000,-25000,-100000,See what the fine is
CHEAT-BYPASS,Fees Paid,Subsequent,-500,-1000,-2000,-5000,-25000,-100000,See what it costs you
CHEAT-BYPASS,Next Step,First,ENG-INITIATION,REG-DOB-FEE-REVIEW,REG-FDNY-FEE-REVIEW,CON-INITIATION,PM-DECISION-CHECK,PM-DECISION-CHECK,
CHEAT-BYPASS,Next Step,Subsequent,ENG-INITIATION,REG-DOB-FEE-REVIEW,REG-FDNY-FEE-REVIEW,CON-INITIATION,PM-DECISION-CHECK,PM-DECISION-CHECK,
CON-INITIATION,Quality,First,HIGH,HIGH,MED,MED,LOW,LOW,See how good his work is
CON-INITIATION,Time outcomes,Subsequent,5 days,10 days,15 days,20 days,25 days,30 days,See how long the change takes
CON-INITIATION,Multiplier ,First,1,2,3,4,5,6,See what it adds up to
CON-INITIATION,Fee Paid,Subsequent,0%,2%,4%,6%,8%,10%,See what the change costs
CON-INSPECT,Next Step,First,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,CON-ISSUES,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,
CON-INSPECT,Next Step,Subsequent,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,REG-DOB-FINAL-REVIEW,CON-ISSUES,
CON-INSPECT,Time outcomes,First,1 day,5 days,25 days,1 day,1 day,1 day,See how long the inspection takes
CON-INSPECT,Time outcomes,Subsequent,1 day,1 day,1 day,5 days,25 days,1 day,See how long the walk takes
CON-ISSUES,Next Step,First,CON-INSPECT,CON-INSPECT,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,ENG-INITIATION,ARCH-INITIATION,
CON-ISSUES,Next Step,Subsequent,CON-INSPECT,CON-INSPECT,CON-INSPECT,CON-INSPECT,REG-FDNY-FEE-REVIEW,REG-DOB-FEE-REVIEW,
CON-ISSUES,Time outcomes,First,1 day,15 days,1 day,1 day,1 day,1 day,See how long you're stopped
CON-ISSUES,Time outcomes,Subsequent,1 day,1 day,1 day,15 days,1 day,1 day,See how long it slows you
ENG-FEE-REVIEW,Fees Paid,First,2%,2%,4%,4%,6%,6%,See what the fee is
ENG-FEE-REVIEW,Fees Paid,Subsequent,0%,0%,1%,1%,2%,2%,See what the extra costs
ENG-INITIATION,Next Step,Subsequent,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,PM-DECISION-CHECK or REG-DOB-FEE-REVIEW,ENG-FEE-REVIEW,ENG-FEE-REVIEW,ENG-FEE-REVIEW,
ENG-SCOPE-CHECK,W Cards,First,Remove 1,Draw 1,Replace 1,No change,No change,No change,See what the design adds
ENG-SCOPE-CHECK,W Cards,Subsequent,Remove 1,Draw 1,Replace 1,No change,No change,No change,See what changed
FINISH,Time outcomes,First,,,,,,,See your final time
FINISH,Time outcomes,Subsequent,,,,,,,See your final time
INVESTOR-FUND-REVIEW,I Cards,First,Draw 1,Draw 1,Draw 1,Draw 2,Draw 2,Draw 2,See what they'll put in
INVESTOR-FUND-REVIEW,I Cards,Subsequent,Draw 1,Draw 1,Draw 1,Draw 2,Draw 2,Draw 2,See what's left on the table
INVESTOR-FUND-REVIEW,Time outcomes,First,30 days,30 days,30 days,50 days,50 days,70 days ,See how long they take
INVESTOR-FUND-REVIEW,Time outcomes,Subsequent,30 days,30 days,50 days,50 days,70 days,70 days ,See how long they take
LEND-SCOPE-CHECK,W Cards,First,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,See what the plan covers
LEND-SCOPE-CHECK,W Cards,Subsequent,Remove 1,Draw 1,Replace 1,No change,No change,No change,See what he'll cover now
OWNER-DECISION-REVIEW,W Cards,First,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,See what the owner wants
OWNER-DECISION-REVIEW,W Cards,Subsequent,Remove 1,Draw 1,Replace 1,No change,No change,No change,See the owner's call
OWNER-DECISION-REVIEW,E cards,First,Remove 1,Draw 1,Draw 1,Replace 1,Replace 1,No change,See who he sends you
OWNER-DECISION-REVIEW,E cards,Subsequent,Remove 1,Draw 1,Replace 1,No change,No change,No change,See who he sends you
REG-DOB-AUDIT,Time outcomes,First,REG-DOB-FINAL-REVIEW,REG-DOB-PLAN-EXAM,REG-DOB-PLAN-EXAM,ARCH-INITIATION,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,See how long the audit takes
REG-DOB-AUDIT,Time outcomes,Subsequent,REG-DOB-FINAL-REVIEW,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,REG-DOB-PLAN-EXAM,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,See how long it takes to close
